producto,ingredientes,descripcion,marca,costo
Bebida en lata,"Bebidas 350 CC (ANDINAS) Incluye: Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.","Bebidas 350 CC (ANDINAS) Incluye: Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.",Gourmet,500.0
Branding Carro Clásico,Gráfica carro clásico,Gráfica carro clásico,Gourmet,500.0
Brocheta de fruta,Plátano - Frutilla / Marshmallow con salsa de chocolate.,Plátano - Frutilla / Marshmallow con salsa de chocolate.,Gourmet,500.0
Cabritas Dulces,Entregadas en vaso de 360cc.,Entregadas en vaso de 360cc.,Gourmet,500.0
Cafe Caliente,"Incluye endulzante o azúcar, revolvedor y vaso térmico desechable","Incluye endulzante o azúcar, revolvedor y vaso térmico desechable",Gourmet,500.0
Carro Blanco,Carro blanco mediano,Carro blanco mediano,Gourmet,500.0
Porción Cebolla caramelizada,,,Gourmet,500.0
Chocolate Caliente y decoración,,,Gourmet,500.0
Choripan,,,Gourmet,500.0
Churrasco Gourmet,"Pan Brioche 10 cms, Churrasco Picado, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.","Pan Brioche 10 cms, Churrasco Picado, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.",Gourmet,500.0
Churrasco Italiano,"Pan Brioche 10 cms, Churrasco Picado, Palta Hass y Tomate Fresco Picado.","Pan Brioche 10 cms, Churrasco Picado, Palta Hass y Tomate Fresco Picado.",Gourmet,500.0
Churrasco Luco,"Pan Brioche 10 cms, Churrasco Picado y Queso.","Pan Brioche 10 cms, Churrasco Picado y Queso.",Gourmet,500.0
Churros españoles,"Churro tradicional envuelto en azúcar flor, 2 unidades","Churro tradicional envuelto en azúcar flor, 2 unidades",Gourmet,500.0
Churros Rellenos,Churro tradicionales relleno con manjar.,Churro tradicionales relleno con manjar.,Gourmet,500.0
Cotton Candy,Algodón de azúcar.,Algodón de azúcar.,Gourmet,500.0
Crepes,"Crepes dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows","Crepes dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows",Gourmet,500.0
Empanadas cóctel,Porción 3 unidades rellenas con queso.,Porción 3 unidades rellenas con queso.,Gourmet,500.0
Empanadas,pino o queso.,pino o queso.,Gourmet,500.0
Envase Personalizado,,,Gourmet,500.0
Hamburguesa Queso,"Pan Brioche 10 cms, Burger de 100 grs y Queso Cheddar o Mantecoso.","Pan Brioche 10 cms, Burger de 100 grs y Queso Cheddar o Mantecoso.",Gourmet,500.0
Hamburguesa Clasica,"Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.","Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.",Gourmet,500.0
Hamburguesa Clasica Veggie,,,Gourmet,500.0
Hamburguesa Gourmet,"Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.","Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.",Gourmet,500.0
Hamburguesa Gourmet Veggie,,,Gourmet,500.0
Hamburguesa Italiana,"Pan Brioche 10 cms, Burger de 100 grs, Palta Hass y Tomate Laminado Fresco.","Pan Brioche 10 cms, Burger de 100 grs, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Hamburguesa italiana Veggie,,,Gourmet,500.0
hamburguesa personalizada,"Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca , Queso, cebolla morada y pepinillos.","Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca , Queso, cebolla morada y pepinillos.",Gourmet,500.0
Helado Soft,"Helado soft chocolate, vainilla o mixto en cono de barquillo.","Helado soft chocolate, vainilla o mixto en cono de barquillo.",Gourmet,500.0
Helados en Cono,"Helado soft chocolate, vainilla o mixto en cono de barquillo.","Helado soft chocolate, vainilla o mixto en cono de barquillo.",Gourmet,500.0
Helado Sundae,"Helado soft chocolate, vainilla o mixto en vaso en plástico, salsa de chocolate y toppings(cobertura).","Helado soft chocolate, vainilla o mixto en vaso en plástico, salsa de chocolate y toppings(cobertura).",Gourmet,500.0
Hora extra por operador,,,Gourmet,500.0
Hot Dog,"Pan Lengua 17cm, Salchicha PF Sureña 15cm.","Pan Lengua 17cm, Salchicha PF Sureña 15cm.",Gourmet,500.0
Hot Dog Dinámico,"Pan Lengua 17 cms, Salchicha PF Sureña 15 cms, Tomate Fresco Picado, Salsa Americana y Salsa Verde.","Pan Lengua 17 cms, Salchicha PF Sureña 15 cms, Tomate Fresco Picado, Salsa Americana y Salsa Verde.",Gourmet,500.0
Hot Dog Dinámico XL,"Pan Lengua 25 cms, Salchicha PF Sureña XL, Tomate Fresco Picado, Salsa Americana y Salsa Verde.","Pan Lengua 25 cms, Salchicha PF Sureña XL, Tomate Fresco Picado, Salsa Americana y Salsa Verde.",Gourmet,500.0
Hot Dog Gourmet,"Pan Lengua 17cm, Salchicha PF Sureña15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.","Pan Lengua 17cm, Salchicha PF Sureña15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.",Gourmet,500.0
Hot Dog Gourmet Veggie,"Pan Lengua 17cm, Salchicha Vegusta 15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.","Pan Lengua 17cm, Salchicha Vegusta 15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.",Gourmet,500.0
Hot Dog Gourmet XL,"Pan Lengua 25cm, Salchicha PF Sureña XL, Queso Cheddar, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.","Pan Lengua 25cm, Salchicha PF Sureña XL, Queso Cheddar, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.",Gourmet,500.0
Hot Dog Italiano,"Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado, Palta Hass.","Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado, Palta Hass.",Gourmet,500.0
Hot Dog Italiano Vegetariano,"Pan Lengua 17cm, Salchicha Vegusta, Tomate Fresco Picado, Palta Hass.","Pan Lengua 17cm, Salchicha Vegusta, Tomate Fresco Picado, Palta Hass.",Gourmet,500.0
Hot Dog Italiano XL,"Pan Lengua 25cm, Salchicha PF Sureña XL,, Tomate Fresco Picado y Palta Hass.","Pan Lengua 25cm, Salchicha PF Sureña XL,, Tomate Fresco Picado y Palta Hass.",Gourmet,500.0
Hot dog Veggie,,,Gourmet,500.0
Jugos Naturales,"Incluye: 2 Sabores a elección: Frutilla, Durazno, Piña, Papaya, Melón Tuna.","Incluye: 2 Sabores a elección: Frutilla, Durazno, Piña, Papaya, Melón Tuna.",Gourmet,500.0
Jugo en lata,,,Gourmet,500.0
Líquidos calientes,"Café, té o chocolate caliente. Incluye endulzante o azúcar, revolvedor y vaso térmico desechable","Café, té o chocolate caliente. Incluye endulzante o azúcar, revolvedor y vaso térmico desechable",Gourmet,500.0
Lomito Gourmet,"Pan Brioche 10 cms, Lomo de cerdo, Queso Cheddar, Champiñones Salteados, Salsa Bbq y Cebolla Caramelizada","Pan Brioche 10 cms, Lomo de cerdo, Queso Cheddar, Champiñones Salteados, Salsa Bbq y Cebolla Caramelizada",Gourmet,500.0
Lomito Italiano,"Pan Brioche 10 csm, Lomo de Cerdo, Palta Hass y Tomate Laminado Fresco.","Pan Brioche 10 csm, Lomo de Cerdo, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Lomito Italiano,Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.,Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.,Gourmet,500.0
Lomito Luco,"Pan Brioche 10 cms, Lomo de Cerdo y Queso.","Pan Brioche 10 cms, Lomo de Cerdo y Queso.",Gourmet,500.0
Mechada Clásica,"Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Lechuga Fresca y Queso Mantecoso.","Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Lechuga Fresca y Queso Mantecoso.",Gourmet,500.0
Mechada Gourmet,"Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.","Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.",Gourmet,500.0
Mechada Gourmet veggie,"Pan Brioche 10 cms, hamburguesa not burguet, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.","Pan Brioche 10 cms, hamburguesa not burguet, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.",Gourmet,500.0
Mechada Italiana,"Pan Brioche 10 cms, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.","Pan Brioche 10 cms, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Medialuna,Exquisita medialuna crujiente.,Exquisita medialuna crujiente.,Gourmet,500.0
Mini As Italiano,"Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Picado Fresco.","Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Picado Fresco.",Gourmet,500.0
Mini As Luco,"Pan Amasado Mini, Churrasco de Vacuo y Queso Cheddar.","Pan Amasado Mini, Churrasco de Vacuo y Queso Cheddar.",Gourmet,500.0
Mini Bebida,"bebida en lata individual 220 cc, Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.","bebida en lata individual 220 cc, Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.",Gourmet,500.0
Mini Burger Clásica,"Pan Amasado Mini, Burger Casera 60 grs, Queso Cheddar, Lechuga Fresca y Tomate Laminado Fresco.","Pan Amasado Mini, Burger Casera 60 grs, Queso Cheddar, Lechuga Fresca y Tomate Laminado Fresco.",Gourmet,500.0
Mini Burger Italiana,"Pan Amasado Mini, Burger Casera 60 grs, Palta Hass, y Tomate Laminado Fresco.","Pan Amasado Mini, Burger Casera 60 grs, Palta Hass, y Tomate Laminado Fresco.",Gourmet,500.0
Mini CheeseBurger,"Pan Amasado Mini, Burger Casera de 60 grs, Queso Cheddar y Cebolla Caramelizada.","Pan Amasado Mini, Burger Casera de 60 grs, Queso Cheddar y Cebolla Caramelizada.",Gourmet,500.0
Mini Churrasco Italiano,"Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Laminado Fresco.","Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Mini Hot Dog Italiano,"Pan lengua Mini, Salchicha Sureña, Palta Hass y Tomate Picado Fresco.","Pan lengua Mini, Salchicha Sureña, Palta Hass y Tomate Picado Fresco.",Gourmet,500.0
Mini Lomito Italiano,"Pan Amasado Mini, Lomito de Cerdo, Palta Hass y Tomate Laminado Fresco.","Pan Amasado Mini, Lomito de Cerdo, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Mini Mechada Italiana,"Pan Amasado Mini, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.","Pan Amasado Mini, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.",Gourmet,500.0
Montaje,,,Gourmet,500.0
Nuggets,Porción de 3 unidades de Nuggets,Porción de 3 unidades de Nuggets,Gourmet,500.0
Papa Fritas Natural,Papa fritas natural tipo rusticas,Papa fritas natural tipo rusticas,Gourmet,500.0
Papa Smile,,,Gourmet,500.0
Papas Fritas,Porción de papas fritas 150 grs.,Porción de papas fritas 150 grs.,Gourmet,500.0
Papas fritas 200 grs,Porción de papas fritas 200 grs.,Porción de papas fritas 200 grs.,Gourmet,500.0
Pizza Artesanal Personalizada,Pizza individual artesanal 18 cms,Pizza individual artesanal 18 cms,Gourmet,500.0
Pizza Individual,Pizzas individuales 16 cm. Sabores disponibles: Jamón Queso - Pepperoni - Veggie,Pizzas individuales 16 cm. Sabores disponibles: Jamón Queso - Pepperoni - Veggie,Gourmet,500.0
Pizzetas,2 Unidades de pizzeta. Sabores: Jamón Queso - Pepperoni - Veggie.,2 Unidades de pizzeta. Sabores: Jamón Queso - Pepperoni - Veggie.,Gourmet,500.0
Pop Corn,Palomitas de Maíz 40 gr aprox.,Palomitas de Maíz 40 gr aprox.,Gourmet,500.0
PopCorn Personalizado,,,Gourmet,500.0
Pulled Pork Gourmet,"Pan Brioche 10 cms, Pulled Pork, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.","Pan Brioche 10 cms, Pulled Pork, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.",Gourmet,500.0
Pulled Pork Italiano,"Pan Brioche 10 cms, Pulled Pork, Palta Hass y Tomate Fresco Picado.","Pan Brioche 10 cms, Pulled Pork, Palta Hass y Tomate Fresco Picado.",Gourmet,500.0
Salchipapas,,,Gourmet,500.0
Salsa Americana,,,Gourmet,500.0
Salsa Verde,,,Gourmet,500.0
Sandwich Vegetariano,"Intercambio proteina por Not burguer vegetariana para sandwich y
salchicha Mr veggie para hot dog","Intercambio proteina por Not burguer vegetariana para sandwich y
salchicha Mr veggie para hot dog",Gourmet,500.0
Smash Burger Clasica,"Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.","Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.",Gourmet,500.0
Smash Burger Gourmet,"Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.","Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.",Gourmet,500.0
Sopaipilla,2 unidades por porcion,2 unidades por porcion,Gourmet,500.0
Traslado,,,Gourmet,500.0
Waffles,"Waffles dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows","Waffles dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows",Gourmet,500.0
Wraps Clásico,"Tortilla XL, Churrasco Picado, Guacamole, Queso Granulado, Mix de Lechuga, y Crema Acida.","Tortilla XL, Churrasco Picado, Guacamole, Queso Granulado, Mix de Lechuga, y Crema Acida.",Gourmet,500.0
Wraps Gourmet,"Tortilla XL, carne mechada, Guacamole, Queso Granulado, Mix de Lechuga, Porotos Negros y Crema Acida.","Tortilla XL, carne mechada, Guacamole, Queso Granulado, Mix de Lechuga, Porotos Negros y Crema Acida.",Gourmet,500.0
Wraps Pollo,"Tortilla XL, Pollo, Guacamole, Queso Granulado, Mix de Lechuga y Crema Acida.","Tortilla XL, Pollo, Guacamole, Queso Granulado, Mix de Lechuga y Crema Acida.",Gourmet,500.0
Pizza Jamón queso,,,Gourmet,500.0
Pizza Pepperoni,,,Gourmet,500.0
Pizza Veggie,,,Gourmet,500.0
Pizzeta Jamón Queso,,,Gourmet,500.0
Pizzeta Pepperoni,,,Gourmet,500.0
Pizzeta Veggie,,,Gourmet,500.0
Porción Queso,Cheddar o Mantecoso,Cheddar o Mantecoso,Gourmet,500.0
Pizza Artesanal,,,Gourmet,500.0
Bidon de agua 5 lt,,,Gourmet,500.0
Donuts,,,Gourmet,500.0
Chucrut,,,Gourmet,500.0
Envase sandwich,,,Gourmet,500.0
Hot Dog Italiano veggie XL,,,Gourmet,500.0
Hot Dog Dinamico veggie XL,,,Gourmet,500.0
Pack Revisión Técnica,"2 Hamburguesas (Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca, Queso, palta hass y cebolla caramelizada, todo en un suave pan brioche).
2 Bebidas lata 355 ml.
1 Churro Relleno.
1 Papas Fritas 150 grs.","2 Hamburguesas (Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca, Queso, palta hass y cebolla caramelizada, todo en un suave pan brioche).
2 Bebidas lata 355 ml.
1 Churro Relleno.
1 Papas Fritas 150 grs.",Gourmet,500.0
Operador,,,Gourmet,500.0
Hot Dog + Papas fritas,,,Gourmet,500.0
Chocolate Caliente,,,Gourmet,500.0
Muffin,,,Gourmet,500.0
Wraps Vacuno,,,Gourmet,500.0
Mini Churro,,,Gourmet,500.0
Branding Modulo,,,Gourmet,500.0
Entrega de sticker,,,Gourmet,500.0
Choclo,,,Gourmet,500.0
Hot Dog Premium,,,Gourmet,500.0
"Hamburguesa, queso y tocino.",,,Gourmet,500.0
Branding Pop Corn,,,Gourmet,500.0
Granizados,"Sabores: frambuesa, chicle azul, uva, melon tuna, piña colada, mango maracuya (según disponibilidad)","Sabores: frambuesa, chicle azul, uva, melon tuna, piña colada, mango maracuya (según disponibilidad)",Gourmet,500.0
Bebida 500cc Bilz,,,Gourmet,500.0
Empanada de Pino,Carne lomo picada,Carne lomo picada,Gourmet,500.0
Anticucho,"Brocheta 35cm, 150 gr., Carne, Cerdo, Longaniza, Pimenton, Cebolla","Brocheta 35cm, 150 gr., Carne, Cerdo, Longaniza, Pimenton, Cebolla",Gourmet,500.0
Mote con huesillo,,,Gourmet,500.0
Choripan,Incluye 20gr. pebre,Incluye 20gr. pebre,Gourmet,500.0
Dulces chilenos,"3 unidades: Principe merengue, chilenito, empolvados, mil hojas.","3 unidades: Principe merengue, chilenito, empolvados, mil hojas.",Gourmet,500.0
Helados Savory,Variedades,Variedades,Gourmet,500.0
Porciones de Fruta,"Plátano, manzana y naranja 300gr","Plátano, manzana y naranja 300gr",Gourmet,500.0
Tapaditos,,,Gourmet,500.0
Pollo Italiano,"Pan Brioche 10 cms, escalopín de pollo, Palta Hass y Tomate Fresco Picado","Pan Brioche 10 cms, escalopín de pollo, Palta Hass y Tomate Fresco Picado",Gourmet,500.0
Not Burguer Italiana,"Pan Brioche 10 cms, NOTburger, Palta Hass y Tomate Laminado Fresco","Pan Brioche 10 cms, NOTburger, Palta Hass y Tomate Laminado Fresco",Gourmet,500.0
Carro blanco con gráfica,,,Gourmet,500.0
Branding módulos,,,Gourmet,500.0
Supervisor,,,Gourmet,500.0
Empanadas chica,,,Gourmet,500.0
Cerveza sin alcochol,,,Gourmet,500.0
Terremoto sin alcohol,,,Gourmet,500.0
Hot Dog Dinamico veggie,,,Gourmet,500.0
Cachantun + sabores,,,Gourmet,500.0
Pizza Individual Napolitana,,,Gourmet,500.0
Wraps Vegetarianos,,,Gourmet,500.0
Bidon 20 lt,,,Gourmet,500.0
Hamburguesa Queso Cheddar,,,Gourmet,500.0
Empanada de coctel,Pino-Queso-Vegetariana-Vegana,Pino-Queso-Vegetariana-Vegana,Gourmet,500.0
Empanadas Vegetarianas,,,Gourmet,500.0
Choripan Veggie,,,Gourmet,500.0
Terremoto,,,Gourmet,500.0
Cerveza Heinikel,,,Gourmet,500.0
Empanada de queso,,,Gourmet,500.0
Horario nocturno por operador,,,Gourmet,500.0
Bebidas Calientes,|,|,Gourmet,500.0
Jugo,Boca ancha,Boca ancha,Gourmet,500.0
Bebestible,,,Gourmet,500.0
NOTBURGER Gourmet,,,Gourmet,500.0
Liquidos Frios,,,Gourmet,500.0
Packaging Entrega,,,Gourmet,500.0
Sachets Salsas,,,Gourmet,500.0
Fruta a Granel,,,Gourmet,500.0
Traslado y Montaje,,,Gourmet,500.0
Gastos Operacionales,,,Gourmet,500.0
Puntos de Hidratacion,,,Gourmet,500.0
Porción de Lechuga,,,Gourmet,500.0
Porción de Pepinillo Dulce,,,Gourmet,500.0
Manzana Confitada,,,Gourmet,500.0
Pack Café con Galletas,"Café Incluye endulzante o azúcar, revolvedor y vaso térmico desechable
Galletas La Dulcería 2 un.","Café Incluye endulzante o azúcar, revolvedor y vaso térmico desechable
Galletas La Dulcería 2 un.",Gourmet,500.0
Galletas,Galletas La Dulcería 2 un.,Galletas La Dulcería 2 un.,Gourmet,500.0
Hand Roll,,,Gourmet,500.0
Cerveza Individual,"Royal, Sol o Stella Artois","Royal, Sol o Stella Artois",Gourmet,500.0
Salchicha Llanquihue,,,Gourmet,500.0
Branding Carro Blanco,,,Gourmet,500.0
Branding Carro Blanco Techo,,,Gourmet,500.0
Anticucho vegetariano,,,Gourmet,500.0
Hot Dog Personalizado,"Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado.","Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado.",Gourmet,500.0
WebPay,Recargo 4%,Recargo 4%,Gourmet,500.0
Hamburguesa Veggie,,,Gourmet,500.0
Porción de Palta,,,Gourmet,500.0
Mini Hot Dog Veggie,,,Gourmet,500.0
Porción de Cebolla,,,Gourmet,500.0
Desayuno Finning,"Te, Café, Muffin, Sandwich del día y Agua Saborizada","Te, Café, Muffin, Sandwich del día y Agua Saborizada",Gourmet,500.0
Mini Tacos Carne y Pico Gallo,,,Gourmet,500.0
Mini Quesadillas y Guacamole,,,Gourmet,500.0
Papas Fritas con Guacamole,,,Gourmet,500.0
Bebidas Sin Alcohol,"Bebidas en lata 350cc, Jugo en Pulpa, Agua mineral, Cerveza sin alcohol.","Bebidas en lata 350cc, Jugo en Pulpa, Agua mineral, Cerveza sin alcohol.",Gourmet,500.0
Bebidas Con Alcohol,"Cerveza, Pisco, Espumante, Pisco Sour","Cerveza, Pisco, Espumante, Pisco Sour",Gourmet,500.0
Brocheta de Marshmallow,Marshmallow con salsa de chocolate.,Marshmallow con salsa de chocolate.,Gourmet,500.0
Mini Wraps Pollo,,,Gourmet,500.0
Churrasco Italiano,"Pan de brioche 11 cm, carne de vacuno, palta 100% hass, tomates frescos","Pan de brioche 11 cm, carne de vacuno, palta 100% hass, tomates frescos",Express,500.0
Estación líquidos calientes:,"Pan de brioche, lomito de cerdo 100 gr, palta 100% hass, tomates frescos y mayonesa","Pan de brioche, lomito de cerdo 100 gr, palta 100% hass, tomates frescos y mayonesa",Express,500.0
Hamburguesas clásicas,"Pan  brioche 11 cm de diámetro, hamburguesa 100 gr, queso, lechuga, tomates frescos","Pan  brioche 11 cm de diámetro, hamburguesa 100 gr, queso, lechuga, tomates frescos",Express,500.0
Hotdogs Italianos,"Pan Lengua 17 cm, salchicha PF sureña, palta 100% hass, tomates frescos.","Pan Lengua 17 cm, salchicha PF sureña, palta 100% hass, tomates frescos.",Express,500.0
As Italianos,"Pan lengua, carne de vacuno, palta 100% hass, tomates frescos y mayonesa","Pan lengua, carne de vacuno, palta 100% hass, tomates frescos y mayonesa",Express,500.0
Papas fritas,"Canasto de papas fritas 150gr aprox, condimentadas con sal, orégano y merken a gusto","Canasto de papas fritas 150gr aprox, condimentadas con sal, orégano y merken a gusto",Express,500.0
Empanadas de queso,Porción estándar 3 unidades rellenas con queso,Porción estándar 3 unidades rellenas con queso,Express,500.0
Pop corn,Tradicional cabritas dulces en cucurucho. 75gr aprox,Tradicional cabritas dulces en cucurucho. 75gr aprox,Express,500.0
Algodón de azúcar,Tradicional algodón de azúcar color rosa o azul,Tradicional algodón de azúcar color rosa o azul,Express,500.0
Helados,"Helados formato barquillo sabores chocolate, vainilla y mixto","Helados formato barquillo sabores chocolate, vainilla y mixto",Express,500.0
Bebidas,Formato lata 350ml. Variedades según disponibilidad de stock Coca Cola Company,Formato lata 350ml. Variedades según disponibilidad de stock Coca Cola Company,Express,500.0
Mechada Italiana,"Pan brioche 11 cm, mechada de vacuno, palta 100% hass, tomates frescos","Pan brioche 11 cm, mechada de vacuno, palta 100% hass, tomates frescos",Express,500.0
Algodones de azúcar,"Tradicional algodón de azúcar, dos colores: rosa o azul","Tradicional algodón de azúcar, dos colores: rosa o azul",Express,500.0
Churros españoles,"Churro tradicional envuelto en azúcar flor, 2 unidades","Churro tradicional envuelto en azúcar flor, 2 unidades",Express,500.0
Churros rellenos,Churros rellenos de manjar,Churros rellenos de manjar,Express,500.0
Wraps Mixto,"Pollo y vacuno. Tortilla XL, lechuga, guacamole, crema ácida, queso granulado","Pollo y vacuno. Tortilla XL, lechuga, guacamole, crema ácida, queso granulado",Express,500.0
Bebestibles calientes,"Café de grano, chocolate caliente, té, infusiones y leche semidescremada. Incluye endulzante y/o azúcar, revolvedor, vaso término desechable","Café de grano, chocolate caliente, té, infusiones y leche semidescremada. Incluye endulzante y/o azúcar, revolvedor, vaso término desechable",Express,500.0
Hamburguesas Italianas,"Pan brioche 11 cm de diámetro, hamburguesa 100 gr, tomates frescos, palta hass 100%","Pan brioche 11 cm de diámetro, hamburguesa 100 gr, tomates frescos, palta hass 100%",Express,500.0
Wraps Pollo,"Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y Pollo","Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y Pollo",Express,500.0
Wraps Vacuno,"Tortilla XL, guacamole,  lechuga, queso granulado, salsa ácida y carne de vacuno","Tortilla XL, guacamole,  lechuga, queso granulado, salsa ácida y carne de vacuno",Express,500.0
Sandwich Vegetariano,"Pan brioche, NOTburger, palta 100% hass y tomates frescos","Pan brioche, NOTburger, palta 100% hass y tomates frescos",Express,500.0
Wraps Mechada,"Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y carne mechada","Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y carne mechada",Express,500.0
Wraps Vegetarianos,"Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y champiñones","Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y champiñones",Express,500.0
Hot Dogs Dinámico,"Pan lengua, salchicha sureña, palta hass 100%, tomate frescos, salsa americana, chucrut","Pan lengua, salchicha sureña, palta hass 100%, tomate frescos, salsa americana, chucrut",Express,500.0
Hot dog Completo,"Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde","Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde",Express,500.0
Chocolate caliente + Muffin,Tradicional chocolate caliente acompañado de muffin variedad Choco chips o arándano según disponibilidad,Tradicional chocolate caliente acompañado de muffin variedad Choco chips o arándano según disponibilidad,Express,500.0
Mini Hot Dog Italiano,"Pan mini lengua 9 cm, Salchica PF sureña, Palta hass, Tomates frescos","Pan mini lengua 9 cm, Salchica PF sureña, Palta hass, Tomates frescos",Express,500.0
As Luco,"Pan Lengua, Carne de Vacuno, Queso Mantecoso","Pan Lengua, Carne de Vacuno, Queso Mantecoso",Express,500.0
Pizzetas,"2 unidades de pizzetas, Jamon queso, pepperoni, veggie","2 unidades de pizzetas, Jamon queso, pepperoni, veggie",Express,500.0
Hamburguesas italianas not burger,"Pan brioche, hamburguesa not burger 100 gr, tomates frescos, palta hass 100%","Pan brioche, hamburguesa not burger 100 gr, tomates frescos, palta hass 100%",Express,500.0
Pop corn,Tradicional cabrita envasada 30gr aprox,Tradicional cabrita envasada 30gr aprox,Express,500.0
Churrasco Luco,"Pan de brioche, carne de vacuno y queso mantecoso","Pan de brioche, carne de vacuno y queso mantecoso",Express,500.0
Mini Churrasco italiano,"Pan amasado, churrasco de vacuno, palta hass, tomates frescos","Pan amasado, churrasco de vacuno, palta hass, tomates frescos",Express,500.0
Lomito Luco,"Pan brioche, carne de cerdo, queso mantecoso o queso cheddar","Pan brioche, carne de cerdo, queso mantecoso o queso cheddar",Express,500.0
