producto	Descripcion	marca	costo
Hamburguesa Queso Cheddar		Gourmet	500
Empanada de coctel	Pino-Queso-Vegetariana-Vegana	Gourmet	500
Empanadas Vegetarianas		Gourmet	500
Choripan Veggie		Gourmet	500
Terremoto		Gourmet	500
Cerveza Heinikel		Gourmet	500
Empanada de queso		Gourmet	500
Horario nocturno por operador		Gourmet	500
Bebidas Calientes	|	Gourmet	500
Jugo	Boca ancha	Gourmet	500
Bebestible		Gourmet	500
NOTBURGER Gourmet		Gourmet	500
Liquidos Frios		Gourmet	500
Packaging Entrega		Gourmet	500
Sachets Salsas		Gourmet	500
Fruta a Granel		Gourmet	500
Traslado y Montaje		Gourmet	500
Gastos Operacionales		Gourmet	500
Puntos de Hidratacion		Gourmet	500
Porción de Lechuga		Gourmet	500
Porción de Pepinillo Dulce		Gourmet	500
Manzana Confitada		Gourmet	500
Pack Café con Galletas	"Café Incluye endulzante o azúcar, revolvedor y vaso térmico desechable
Galletas La Dulcería 2 un."	Gourmet	500
Galletas	Galletas La Dulcería 2 un.	Gourmet	500
Hand Roll		Gourmet	500
Cerveza Individual	Royal, Sol o Stella Artois	Gourmet	500
Salchicha Llanquihue		Gourmet	500
Branding Carro Blanco		Gourmet	500
Branding Carro Blanco Techo		Gourmet	500
Anticucho vegetariano		Gourmet	500
Hot Dog Personalizado	Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado.	Gourmet	500
WebPay	Recargo 4%	Gourmet	500
Hamburguesa Veggie		Gourmet	500
Porción de Palta		Gourmet	500
Mini Hot Dog Veggie		Gourmet	500
Porción de Cebolla		Gourmet	500
Desayuno Finning	Te, Café, Muffin, Sandwich del día y Agua Saborizada	Gourmet	500
Mini Tacos Carne y Pico Gallo		Gourmet	500
Mini Quesadillas y Guacamole		Gourmet	500
Papas Fritas con Guacamole		Gourmet	500
Bebidas Sin Alcohol	Bebidas en lata 350cc, Jugo en Pulpa, Agua mineral, Cerveza sin alcohol.	Gourmet	500
Bebidas Con Alcohol	Cerveza, Pisco, Espumante, Pisco Sour	Gourmet	500
Brocheta de Marshmallow	Marshmallow con salsa de chocolate.	Gourmet	500
Mini Wraps Pollo		Gourmet	500
Churrasco Italiano	Pan de brioche 11 cm, carne de vacuno, palta 100% hass, tomates frescos	Express	500
Estación líquidos calientes:	Pan de brioche, lomito de cerdo 100 gr, palta 100% hass, tomates frescos y mayonesa	Express	500
Hamburguesas clásicas	Pan  brioche 11 cm de diámetro, hamburguesa 100 gr, queso, lechuga, tomates frescos	Express	500
Hotdogs Italianos	Pan Lengua 17 cm, salchicha PF sureña, palta 100% hass, tomates frescos.	Express	500
As Italianos	Pan lengua, carne de vacuno, palta 100% hass, tomates frescos y mayonesa	Express	500
Papas fritas	Canasto de papas fritas 150gr aprox, condimentadas con sal, orégano y merken a gusto	Express	500
Empanadas de queso	Porción estándar 3 unidades rellenas con queso	Express	500
Pop corn	Tradicional cabritas dulces en cucurucho. 75gr aprox	Express	500
Algodón de azúcar	Tradicional algodón de azúcar color rosa o azul	Express	500
Helados	Helados formato barquillo sabores chocolate, vainilla y mixto	Express	500
Bebidas	Formato lata 350ml. Variedades según disponibilidad de stock Coca Cola Company	Express	500
Mechada Italiana	Pan brioche 11 cm, mechada de vacuno, palta 100% hass, tomates frescos	Express	500
Algodones de azúcar	Tradicional algodón de azúcar, dos colores: rosa o azul	Express	500
Churros españoles	Churro tradicional envuelto en azúcar flor, 2 unidades	Express	500
Churros rellenos	Churros rellenos de manjar	Express	500
Wraps Mixto	Pollo y vacuno. Tortilla XL, lechuga, guacamole, crema ácida, queso granulado	Express	500
Bebestibles calientes	Café de grano, chocolate caliente, té, infusiones y leche semidescremada. Incluye endulzante y/o azúcar, revolvedor, vaso término desechable	Express	500
Hamburguesas Italianas	Pan brioche 11 cm de diámetro, hamburguesa 100 gr, tomates frescos, palta hass 100%	Express	500
Wraps Pollo	Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y Pollo	Express	500
Wraps Vacuno	Tortilla XL, guacamole,  lechuga, queso granulado, salsa ácida y carne de vacuno	Express	500
Sandwich Vegetariano	Pan brioche, NOTburger, palta 100% hass y tomates frescos	Express	500
Wraps Mechada	Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y carne mechada	Express	500
Wraps Vegetarianos	Tortilla XL, guacamole, lechuga, queso granulado, salsa ácida y champiñones	Express	500
Hot Dogs Dinámico	Pan lengua, salchicha sureña, palta hass 100%, tomate frescos, salsa americana, chucrut	Express	500
Hot dog Completo	Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde	Express	500
Chocolate caliente + Muffin	Tradicional chocolate caliente acompañado de muffin variedad Choco chips o arándano según disponibilidad	Express	500
Mini Hot Dog Italiano	Pan mini lengua 9 cm, Salchica PF sureña, Palta hass, Tomates frescos	Express	500
As Luco	Pan Lengua, Carne de Vacuno, Queso Mantecoso	Express	500
Pizzetas	2 unidades de pizzetas, Jamon queso, pepperoni, veggie	Express	500
Hamburguesas italianas not burger	Pan brioche, hamburguesa not burger 100 gr, tomates frescos, palta hass 100%	Express	500
Pop corn	Tradicional cabrita envasada 30gr aprox	Express	500
Churrasco Luco	Pan de brioche, carne de vacuno y queso mantecoso	Express	500
Mini Churrasco italiano	Pan amasado, churrasco de vacuno, palta hass, tomates frescos	Express	500
Lomito Luco	Pan brioche, carne de cerdo, queso mantecoso o queso cheddar	Express	500
Hotdogs	Pan lengua, salchicha PF sureña. Salsas mayonesa, ketchup y mostaza	Express	500
Hotdogs veggie	Pan lengua, salchica vegana y salsas mayonesa, ketchup y mostaza	Express	500
Brochetas de fruta	Platano, frutillas, marshmallow y salsa de chocolate	Express	500
Mini Hamburguesas Clásicas	Pan amasado mini, hamburguesa casera 60gr, queso cheddar o queso mantecoso, Lechuga fresca y tomates frescos	Express	500
Anticuchos	Tradicional Anticucho, pollo, vacuno y verduras	Express	500
Mini Cheese burger	Pan amasadso, hamburguesa casera 60gr, queso cheddar o queso mantecoso, salsa bbq, cebolla caramelizada.	Express	500
Brochetas de fruta	Platanos, frutillas, marshmallow y salsa de chocolate	Express	500
Hamburguesas vegetarianas	Pan brioche, champiñones, tomates frescos, palta hass 100%	Express	500
Hot dogs Veggies italianos	Pan Lengua, salchicha veggie, palta 100% hass, tomates frescos y mayonesa	Express	500
Mechada Luco	Pan brioche, mechada de vacuno, queso mantecoso	Express	500
Wraps Vegetarianos	Champiñones, Tortilla XL, Lechuga, Guacamole, Queso granulado, Salsa Ácida	Express	500
Helados Savory	Helados formato paleta variedad básica	Express	500
Mini hamburguesa Italiana	Pan amasado mini, hamburguesa casera 60gr, palta hass, tomates frescos	Express	500
Coffee Break	Té , café de grano, café descafeinado, leche y leche semi descremada	Express	500
Mini Burger Clásicas	Pan amasado mini, hamburguesa casera 60gr, queso mantecoso, lechuga y tomate	Express	500
Bebidas	Formato botella 350cc Variedad sabores:, coca-cola, sprite, fanta, zero y Tradicional.	Express	500
Mini  Burger Italiana	Pan amasado mini, hamburguesa casera 70 gr., Palta has 100%, tomates frescos	Express	500
Helados Sundae	Helados en vaso, sabores chocolate, vainilla o mixto	Express	500
Mini Hot Dogs Italianos Veggies	Pan lengua mini, salchicha veggie, palta has 100%, tomates frescos	Express	500
Mini aliado	Pan amasado mini, jamon y queso	Express	500
Mini Wraps Pollo	Torilla mini, guacamole, lechuga, queso granulado y salsa ácida a gusto	Express	500
Lomito Chacarero	Pan de brioche, lomito de cerdo 100 gr, porotos verdes, tomates frescos, ají verde	Express	500
Hamburguesa not burger Chacarero	Pan de brioche, hamburguesa not burger, porotos verdes, tomates frescos, ají verde	Express	500
Mini Mechada Italiana	Pan amasado mini, Carne mechada, Palta has 100%, tomates frescos	Express	500
Hamburguesa Express	Pan Brioche, Hamburguesa de 100 gr, queso cheddar o mantecoso, salsa BBQ, champiñones y cebolla caramelizada	Express	500
Hamburguesa Luco	Pan Brioche, Hamburguesa de 100 gr y queso cheddar	Express	500
Empanadas de pino	Tradicional empanada chilena de pino con carne picada	Express	500
Empanadas vegetariana	Variedad queso - vegetariana	Express	500
Choripan	Pan de marraqueta 14cm, choriso angus y pebre chileno	Express	500
Donuts	1 donuts con cubierta de chocolate	Express	500
Pizzas	Tradicional pre-horneada formato invididual 16cm de diámetro. Variedad jamón queso, pepperoni y vegetariana.	Express	500
Aguas	Botellas de 500cc	Express	500
Cervezas	Formato botellin, Stella Artois, Royal Guard y Sol, según disponibilidad	Express	500
Mechada Chacarera	Pan Brioche, Mechada de Vacuno, Porotos Verdes, Tomates Frescos, Ají verde	Express	500
Mechada Express	Pan Brioche, Mechada de vacuno, Queso cheddar o mantecoso, salsa bbq, cebolla caramelizada	Express	500
Mechada Clásica	Pan brioche, mechada de vacuno, cebolla, tomate frescos, lechuga	Express	500
Dulces Chilenos	Porcion de 3 pasteles:   Principe merengue, chilenito, empolvados	Express	500
Mote con huesillo	Bebestible tradicional chileno formato individual 330 cc. Incluye cuchara	Express	500
Ají Verde		Express	500
Churrasco tomate	Pan de brioche, carne de vacuno,  tomates frescos	Express	500
Mini Veggie Italiano	Pan amasado mini, champiñones, palta hass, tomates frescos	Express	500
Mini Lomito Italiano	Pan amasado mini, Lomito de cerdo, palta hass, tomates frescos	Express	500
As XL	Pan lengua XL, tomates frescos, palta 100% hass, carne de vacuno	Express	500
Empanadas Napolitanas	Empanada tradicional napolitana	Express	500
Bebidas	Formato botella 350cc variedad sabor, coca-cola, sprite, fanta, zero y Tradicional.	Express	500
Hamburguesas Clásicas Not Burger	Pan brioche, hamburguesa NOT burger, queso, lechuga, tomates frescos	Express	500
Mini burger Clásicas Vegetarianas	Pan amasado mini, champiñones, queso cheddar o queso mantecoso, Lechuga fresca y tomates frescos	Express	500
Choripan Vegetariano	Pan de marraqueta , Choripan Veggie	Express	500
Líquidos calientes	Café de grano, té o chocolate caliente. Incluye endulzante y/o azúcar, revolvedor y vaso térmico desechable	Express	500
Media Luna	1 medialuna.	Express	500
Churrasco Chacarero		Express	500
Suspiro limeño		Express	500
Mini As italiano	Pan mini lengua 9 cm, carne de vacuno , Palta hass, Tomates frescos	Express	500
Mini Burgers Italianas	Pan amasado mini, hamburguesas caseras, palta 100% ass y tomates frescos.	Express	500
Hot Dog Americano	Pan lengua 17 cm, Vienesa PF "sureña"	Express	500
Hot dogg Veggie Americano	Pan lengua 17 cm, Vienesas veggie	Express	500
Salchipapas	Papas fritas con salchichas picadas	Express	500
hora extra	1 hora por extension servicio.	Express	500
Muffins	Tradicional Muffin, sabor según stock	Express	500
Hot dogs Italianos	Pan lengua, salchicha PF sureña, palta as 100% y tomates frescos	Express	500
Cebolla Caramelizada		Express	500
Nuggets de pollo	3 unidades de nuggets de pollo	Express	500
Jugos	Formato lata 350ml. Variedades según disponibilidad de stock	Express	500
Mini Churrasco luco	Pan amasado mini, churrasco y queso	Express	500
Lomito italiano	Pan brioche 11 cm, lomito de cerdo, palta 100% hass y tomates frescos	Express	500
Coffee Break simple	Té , café de grano, café descafeinado y leche	Express	500
Cheese burger	Pan Brioche , hamburguesa de 100 gr y queso cheddar o mantecoso	Express	500
Waffles	Tradicional Waffle, salsa de chocolate, frutilla y platano	Express	500
Hotdogs italianos de pavo	Pan lengua, salchicha llanquihue, palta as 100% y tomates frescos	Express	500
Granizado	Tradicional granizado variedad sabor según disponibilidad. 300cc	Express	500
Sandwich Aliado	Tradicional Sandwich pan de molde, queso y jamon	Express	500
Hamburguesas de quinoa	Pan brioche, hamburuguesa de quinoa, palta 100% has y tomates frescos	Express	500
Mini Terremoto		Express	500
Churrasco dinámico	Pan brioche, carne de vacuno, tomates frescos, palta 100% hass, queso cheddar, cebolla, lechuga, porotos verdes	Express	500
Tapaditos	Pan de molde, queso y jamon	Express	500
Mechada italiana vegetariana	Pan brioche, hamburguesa not burguer, palta 100% hass, tomates frescos	Express	500
Intercambio.	Intecambio salchicha mr veggie y burguer veggie.	Express	500
Estación de fruta	Variedad de frutas	Express	500
Hamburguesa Clásica Opción 2	Pan Frica Fuchs, hamburguesa 100 grs, lechuga, queso cheddar o mantecoso, cebolla morada, pepinillos.	Express	500
Papas Fritas L	Canasto de papas fritas 200gr aprox, condimentadas con sal, orégano y merken a gusto	Express	500
Churrasco Palta	Pan de brioche, carne de vacuno, palta 100% hass.	Express	500
Operador extra		Express	500
Hamburguesa Clásica vegetariana	Pan  brioche, hamburguesa not buguer, queso, lechuga, tomates frescos	Express	500
Sopaillas	Dos unidades de  sopailpilla pp	Express	500
Chucrut		Express	500
Salsa Americana		Express	500
Hot dog Champiñones		Express	500
Empanadas de coctel		Express	500
PopCorn Personalizado		Express	500
Terremotos		Express	500
Mini Cheese burger veggie	Pan amasadso, poroto negro, queso cheddar o queso mantecoso, salsa bbq, cebolla caramelizada.	Express	500
Papa hilo		Express	500
Maní Confitado		Express	500
Anticuchos Vegetarianos		Express	500
Carro Extra		Express	500
Manzana confitada		Express	500
Salsas para churro		Express	500
Agua mineral con gas		Express	500
Chocolate caliente		Express	500
Bebidas Calientes		Express	500
Pepinillo		Express	500
Cebolla		Express	500
Palta		Express	500
Tragos de coctel		Express	500
Agua saborizada		Express	500
Pisco sour		Express	500
Gráfica Personalizada		Express	500
Espumante		Express	500
Lechuga		Express	500
Queso Chedar o Mantecoso		Express	500
Barman	Barman de coctelería básica	Express	500
Algodón de azúcar	Suave algodón de azúcar en palillo de madera, disponible en tonos rosa y azul.	Del Sabor	500
As Del Sabor	Pan Lengua fresco con jugosa carne de vacuno, lechuga crujiente, tomate maduro, queso derretido, cebolla caramelizada, pimentón salteado y un toque de papas hilo.	Del Sabor	500
As Italiano	Pan Lengua relleno de carne de vacuno tierna, palta cremosa y tomate jugoso.	Del Sabor	500
Brochetas de Frutas	Palito con plátano fresco, frutilla dulce y marshmallow, cubiertos con salsa de chocolate.	Del Sabor	500
Burger Clásica	Pan brioche suave con hamburguesa jugosa, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.	Del Sabor	500
Burger Clásica especial	Pan brioche suave con hamburguesa jugosa, palta 100% hass, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.	Del Sabor	500
Opcion vegetariana	Intercambio de proteina tradiconal por vegetariana ( Not burguer) hecha en base a plantas	Del Sabor	500
Burger Clásica (Casera)	Pan brioche suave con hamburguesa jugosa, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.	Del Sabor	500
Burger Del Sabor	Pan brioche con hamburguesa tierna, lechuga crujiente, tomate, queso fundido, cebolla caramelizada, pimentón salteado y papas hilo.	Del Sabor	500
Burger Italiana	Pan brioche con hamburguesa jugosa, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Cabritas	Crujientes palomitas de maíz servidas en un cono de papel.	Del Sabor	500
NOTburger italiana	Sabrosa Not butguer con palta fresca y tomate laminado en un suave pan brioche.	Del Sabor	500
Cebolla Crispy	Porción adicional de cebolla frita, crocante y dorada.	Del Sabor	500
Cebolla Morada	Porción adicional de cebolla morada fresca y crujiente.	Del Sabor	500
Champiñón	Porción adicional de champiñones salteados y jugosos.	Del Sabor	500
Churrasco Clásico	Pan brioche con carne de vacuno , lechuga crujiente, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.	Del Sabor	500
Churrasco Del Sabor	Pan brioche con carne de vacuno, lechuga crujiente, tomate fresco, queso derretido, cebolla caramelizada, y papas hilo.	Del Sabor	500
Churrasco sabor	Pan brioche con carne de vacuno, palta cremosa y tomate jugoso, queso y ceboolla caremelizada.	Del Sabor	500
Churrasco Italiano	Pan brioche con carne de vacuno, palta cremosa y tomate jugoso.	Del Sabor	500
Churros Españoles	Porcion churros crujientes espolvoreados con azúcar flor. (4 unidades)	Del Sabor	500
Churros Rellenos	Un churro relleno con un toque dulce y delicioso.	Del Sabor	500
Empanaditas	Tres empanaditas crujientes con relleno cremoso de queso. (porcion 3 unidades)	Del Sabor	500
Helados Soft	Helado suave de vainilla, chocolate o mixto, servido en un crujiente barquillo.	Del Sabor	500
HotDog Del Sabor vegetariano	Pan Lengua con salchicha MR VEGGIE, palta cremosa, tomate fresco, cebolla caramelizada y papas hilo.	Del Sabor	500
Helados Sundae	Helado soft en vaso con opciones de vainilla, chocolate o mixto, cubierto con salsa de manjar, chocolate o frambuesa.	Del Sabor	500
HotDog Del Sabor	Pan Lengua con salchicha Sureña Pf Premium, palta cremosa, tomate fresco, cebolla caramelizada y papas hilo.	Del Sabor	500
HotDog Italiano	Pan Lengua con salchicha Sureña Pf Premium, palta cremosa y tomate maduro.	Del Sabor	500
Lechuga	Porción adicional de lechuga fresca y crujiente.	Del Sabor	500
Lomito Clásico	Pan brioche con lomo de cerdo tierno, lechuga fresca, tomate maduro, queso derretido, pepinillos y cebolla morada crujiente.	Del Sabor	500
Lomito Del Sabor	Pan brioche con lomo de cerdo, lechuga crujiente, tomate, queso fundido, cebolla caramelizada, pimentón salteado y papas hilo.	Del Sabor	500
Lomito Italiano	Pan brioche con lomo de cerdo, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Mechada Clásica	Pan brioche con mechada de vacuno, lechuga fresca, queso mantecoso, pepinillos y cebolla morada crujiente.	Del Sabor	500
Mechada Del Sabor	Pan brioche con mechada de vacuno, lechuga crujiente, tomate fresco, queso fundido, cebolla caramelizada, pimentón salteado y papas hilo.	Del Sabor	500
Mechada Italiana	Pan brioche con mechada de vacuno, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Mini As Italiano	Mini baguette con carne de vacuno, palta cremosa y tomate fresco.	Del Sabor	500
Mini Burger Especial	Mini baguette con hamburguesa de 60 gramos, queso cheddar fundido y cebolla caramelizada.	Del Sabor	500
Mini Burger Italiana	Mini baguette con hamburguesa de 60 gramos, palta cremosa y tomate fresco.	Del Sabor	500
Mini Churrasco Especial	Mini pan amasado con carne de vacuno, queso cheddar derretido y cebolla caramelizada.	Del Sabor	500
Mini Churrasco Italiano	Mini pan amasado con carne de vacuno, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Mini HotDog Italiano	Mini baguette con salchicha Sureña Pf Premium, palta cremosa y tomate fresco.	Del Sabor	500
Mini Lomito Especial	Mini baguette con lomo de cerdo, queso cheddar derretido y cebolla caramelizada.	Del Sabor	500
Mini Lomito Italiano	Mini baguette con lomo de cerdo, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Mini Mechada Especial	Mini baguette con mechada de vacuno, queso cheddar fundido y cebolla caramelizada.	Del Sabor	500
Mini Mechada Italiana	Mini baguette con mechada de vacuno, palta cremosa y tomate fresco.	Del Sabor	500
Nuggets	Porción de tres nuggets de pollo dorados y crujientes.	Del Sabor	500
1 carro adiconal, mas 1 operador (extras)		Del Sabor	500
Papas Fritas.	Porción de 140 gr papas fritas doradas y crujientes.	Del Sabor	500
Pepinillos Dulces	Porción adicional de pepinillos dulces y crocantes.	Del Sabor	500
Bebida en lata	Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional	Del Sabor	500
Pizza J-Q-O	Pizza individual con jamón, queso fundido y un toque de orégano.	Del Sabor	500
Pizza T-Q-A	Pizza individual con rodajas de tomate, queso derretido y aceitunas.	Del Sabor	500
Pizza Veggie	Salsa de tomate, queso, aceitunas, espárragos y granos de choclo.	Del Sabor	500
Pizzeta J-Q-O	Dos mini pizzetas con jamón, queso derretido y un toque de orégano.	Del Sabor	500
Pizza Pepperoni	Pizza individual con pepperoni y queso fundido.	Del Sabor	500
Pizzeta Pepperoni	Dos mini pizzetas con pepperoni y queso fundido.	Del Sabor	500
Pizzeta Veggie	Dos mini pizzetas con choclo, pimentón y aceitunas.	Del Sabor	500
Poroto Verde	Porción adicional de poroto verde tierno.	Del Sabor	500
Queso Mantecoso	Porción adicional de queso mantecoso suave y cremoso.	Del Sabor	500
Salsa Americana	Porción adicional de salsa americana sabrosa.	Del Sabor	500
Salsa Verde	Porción adicional de salsa verde fresca.	Del Sabor	500
HotDog italiano vegetariano	La clásica combinación de salchicha MR VEGGIE, palta fresca y tomate cubo, envuelta en un suave pan Lengua.	Del Sabor	500
Waffles	Waffles calientes con plátano, frutillas y salsa de chocolate.	Del Sabor	500
Wraps Mechada	Tortilla XL rellena de mechada de vacuno, lechuga crujiente, guacamole, cebolla caramelizada, poroto negro y crema ácida.	Del Sabor	500
Wraps Mixto	Tortilla XL con carne de vacuno y pechuga de pollo, lechuga crujiente, guacamole, cebolla caramelizada, poroto negro y crema ácida.	Del Sabor	500
Wraps vegetariano	Tortilla XL champiñon, lechuga crujiente, guacamole, cebolla caramelizada, poroto negro y crema ácida.	Del Sabor	500
Wraps Pollo	Tortilla XL con pechuga de pollo, lechuga crujiente, guacamole, cebolla caramelizada, poroto negro y crema ácida.	Del Sabor	500
Wraps Vacuno	Tortilla XL con carne de vacuno, lechuga fresca, guacamole, cebolla caramelizada, poroto negro y crema ácida.	Del Sabor	500
Líquidos Fríos	Bebida, Agua Mineral con y sin gas, jugos.	Del Sabor	500
Estacion coffe.	Café, té, leche y/o infusiones.	Del Sabor	500
Liquidos calientes	Café, té, leche y/o infusiones.	Del Sabor	500
Agua	Aguas formato individual botella 500cc	Del Sabor	500
Hora extra.	servico extendido  segun requerimiento. (10.000 por cada operador)	Del Sabor	500
Grafica personalizada	diseño realizado especial a evento.	Del Sabor	500
Incluye - montaje:	3 carritos de comida + Stand entrega de bebidas.	Del Sabor	500
Wraps Vegetariano	Tortilla XL,  queso granulado, lechuga fresca, guacamole, cebolla caramelizada, champiñones y crema ácida.	Del Sabor	500
Salchipapas.	Papa pre frita y salchicha pf sureña, porción estandar 250gr , con  opcion de ser condimentadas	Del Sabor	500
NOT Burger Clásica	Pan brioche suave, Not burguer vegetariana, lechuga crocante, tomate maduro, queso fundido, pepinillos y cebolla morada fresca.	Del Sabor	500
Pack por invitado.	"1 Churrasco Italiano: Pan brioche con carne de vacuno, palta cremosa y tomate jugoso.
1 Papas fritas: Porción de 140 gr papas fritas doradas y crujientes.
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional"	Del Sabor	500
Horario nocturno	Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador)	Del Sabor	500
Personal extra	Barman a cargo de prepracion de tragos y otros liquidos.	Del Sabor	500
Tickets personalizados	Tickets por cada producto solicitado, logo empresa incluido.	Del Sabor	500
Salsas extras	porciones de salsa americana + chucrut.	Del Sabor	500
Chocolate caliente	Chocolate caliente: Mezcla instantánea de chocolate y leche, preparada con agua caliente. De sabor dulce y textura cremosa.	Del Sabor	500
Ingredientes extra	Porciones de aji verde.	Del Sabor	500
Bar Abierto	Servicio Bar abierto; Agua, jugo bebida, pisco, ron, vodka, whisky, mojito, aperol, espumante	Del Sabor	500
Cocktail	Cocktail de bocados frío y calientes	Del Sabor	500
Pizza Individual	Pizza individual variedades	Del Sabor	500
Mini Cheese Burger	Mini amasado con hamburguesa de 60 gramos y queso mantecoso	Del Sabor	500
Muffin	Exquisito muffin esponjoso.	Del Sabor	500
Sticker	Sticker personalizado 5cms diámetro pop corn/algodones	Del Sabor	500
Grafica personalizada Carro Clásico	G. Personalizada carro clásico (salados)	Del Sabor	500
Grafica personalizada Módulo Entrega	G. Personalizada para módulo de entrega productos listos	Del Sabor	500
Grafica personalizada Carro Vintage	G.Personalizada para carrito blanco mote con huesillos	Del Sabor	500
Medias Lunas	Medialuna esponjosa horneada	Del Sabor	500
Vaso de Frutas	Exquisito vaso con frutas de temporada 300 grs	Del Sabor	500
Burger Italiana Vegetariana		Del Sabor	500
Chucrut.	salsa adiconal	Del Sabor	500
Combo Burger Italiana	"Pan brioche con hamburguesa jugosa, palta cremosa y rodajas de tomate fresco.
Bebida en lata variedad andina.
Porción papas fritas de 150 grs."	Del Sabor	500
Porción de palta	Palta hass cremosa	Del Sabor	500
Porción de Pepinillos	Exquisitos pepinillos dill	Del Sabor	500
Montaje Previo	Montaje previo al inicio del servicio	Del Sabor	500
Pop corn envasado	Pop corn en formato vaso 12 oz con tapa domo	Del Sabor	500
Algodón de azúcar envasado	Algodón de azúcar en formato vaso 12 oz con tapa domo	Del Sabor	500
Carro Vintage - Arriendo	Arriendo día de carrito vintage blanco	Del Sabor	500
Empanada de pino	Exquisita empanada de pino con carne picada, al horno.	Del Sabor	500
Brading Módulo Entrega	3 Gráficas personalizadas módulo entrega	Del Sabor	500
Anticucho	Exquisita brocheta de 150 grs con variedad de carnes y verduras.	Del Sabor	500
Choripan	Chorizo Angus en marraqueta crujiente. Incluye pebre	Del Sabor	500
Mote con huesillo.	Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén	Del Sabor	500
Burger Especial	Jugosa hamburguesa de 100 grs con pepinillos dill y queso cheddar, en un pan Brioche.	Del Sabor	500
Helados Paleta	Variedad helados paleta	Del Sabor	500
Grafica Personalizada Congelador	"G. Personalizada congelador (helados)"	Del Sabor	500
Hot dog simple	Pan lengua y salchicha sureña pf	Del Sabor	500
Mini Burger Clásica	Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.	Del Sabor	500
Mechada Italiana (Marraqueta)	Pan Marraqueta con 200 gr mechada de vacuno, palta cremosa y rodajas de tomate fresco.	Del Sabor	500
Liquidos Fríos:	"•Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.
• Jugos Néctar: variedad durazno, naranja, piña.
• Aguas con y sin gas formato 500 cc."	Del Sabor	500
source /Users/oscarmendoza/crm-bdgd/.venv/bin/activate
pkill -f "uvicorn backend.main:app"
uvicorn backend.main:app --reload --host 127.0.0.1 --port 8000
